"","Subject","List","Trial","Time","Type","Lang"
"1","3e545d0a","0","1",1477,"MATCH","L2"
"2","f443d6ca","0","1",NA,"MATCH","L2"
"3","b005a881","0","1",2302,"MATCH","L2"
"4","67d8ff84","0","1",1013,"MATCH","L2"
"5","2ce00fbc","0","1",591,"MATCH","L2"
"6","26046eb9","0","1",1137,"MATCH","L2"
"7","7cb110e2","0","1",2087,"MATCH","L2"
"8","c45d62ce","0","1",NA,"MATCH","L2"
"9","eb246652","0","1",1573,"MATCH","L2"
"10","c147963e","0","1",588,"MATCH","L2"
"11","741a7947","0","1",2742,"MATCH","L2"
"12","f707e78d","0","1",NA,"MATCH","L2"
"13","b1d25b94","0","1",667,"MATCH","L2"
"14","48cf1411","0","1",NA,"MATCH","L2"
"15","233ce8f7","0","1",1326,"MATCH","L2"
"16","fa92e41c","0","1",NA,"MATCH","L2"
"17","778c76ef","0","1",NA,"MATCH","L2"
"18","eff72d9a","0","1",807,"MATCH","L2"
"19","ee9deba5","0","1",1169,"MATCH","L2"
"20","ca5397d7","0","1",2696,"MATCH","L2"
"21","693666a8","0","1",1176,"MATCH","L2"
"22","c0524268","0","1",NA,"MATCH","L2"
"23","c530ea24","0","1",1620,"MATCH","L2"
"24","7218bc4d","0","1",1355,"MATCH","L2"
"25","5f1e472e","0","1",873,"MATCH","L2"
"26","a622c52a","0","1",NA,"MATCH","L2"
"27","703c4f99","0","1",1532,"MATCH","L2"
"28","4103a03c","0","1",722,"MATCH","L2"
"29","762813ff","0","1",532,"MATCH","L2"
"30","a9000b65","0","1",1746,"MATCH","L2"
"31","36bbb9aa","0","1",2393,"MATCH","L2"
"32","08482304","0","1",1832,"MATCH","L2"
"33","b24230d8","0","1",1247,"MATCH","L2"
"34","6de2d396","0","1",2213,"MATCH","L2"
"35","b2ed9879","0","1",1146,"MATCH","L2"
"36","9355ed08","0","1",2114,"MATCH","L2"
"37","2dc3d9da","0","1",1007,"MATCH","L2"
"38","b8f67042","0","1",1614,"MATCH","L2"
"39","27ead6f4","0","1",NA,"MATCH","L2"
"40","2268d4d0","0","1",NA,"MATCH","L2"
"41","de953033","0","1",938,"MATCH","L2"
"42","b90ea9a3","0","1",1445,"MATCH","L2"
"43","1521ab81","0","1",1462,"MATCH","L2"
"44","56aa6a3a","0","1",813,"MATCH","L2"
"45","658e1e76","0","1",419,"MATCH","L2"
"46","adc9431a","0","1",NA,"MATCH","L2"
"47","c73ec47c","0","1",787,"MATCH","L2"
"48","9076a73c","0","1",NA,"MATCH","L2"
"49","a17d89a6","0","1",433,"MATCH","L2"
"50","8d9e7fde","0","1",1237,"MATCH","L2"
"51","256d204e","0","1",912,"MATCH","L2"
"52","558361f3","0","1",745,"MATCH","L2"
"53","7a9bb206","0","1",612,"MATCH","L2"
"54","88bd19b9","0","1",551,"MATCH","L2"
"55","869dc024","0","1",NA,"MATCH","L2"
"56","820c6812","0","1",NA,"MATCH","L2"
"57","e8ea90ca","0","1",NA,"MATCH","L2"
"58","8cac1011","0","1",1114,"MATCH","L2"
"59","cff91060","0","1",NA,"MATCH","L2"
"60","5fe80c1a","0","1",1301,"MATCH","L2"
"61","217d559f","0","1",2176,"MATCH","L2"
"62","ef4bfb92","0","1",2253,"MATCH","L2"
"63","9ce86642","0","1",NA,"MATCH","L2"
"64","024c8398","0","1",2887,"MATCH","L2"
"65","66a18c79","0","1",669,"MATCH","L2"
"66","e60663a7","0","1",820,"MATCH","L2"
"67","99fdfb6a","0","1",833,"MATCH","L2"
"68","534a944d","0","1",1128,"MATCH","L2"
"69","2aa9ab68","0","1",NA,"MATCH","L2"
"70","00f4bacf","0","1",NA,"MATCH","L2"
"71","eb0bd775","0","1",2038,"MATCH","L2"
"72","3de36e48","0","1",1163,"MATCH","L2"
"73","9fbdae41","0","1",1757,"MATCH","L2"
"74","14028ce4","0","1",2365,"MATCH","L2"
"75","3fd4437d","1","1",1752,"MATCH","L2"
"76","5916d1b4","1","1",765,"MATCH","L2"
"77","e66fdba0","1","1",1126,"MATCH","L2"
"78","15bfb74c","1","1",846,"MATCH","L2"
"79","263c755d","1","1",2215,"MATCH","L2"
"80","0ab3083c","1","1",1534,"MATCH","L2"
"81","6c2aef23","1","1",1166,"MATCH","L2"
"82","818371e0","1","1",NA,"MATCH","L2"
"83","188c72a7","1","1",NA,"MATCH","L2"
"84","b71768d8","1","1",531,"MATCH","L2"
"85","25dedb2d","1","1",751,"MATCH","L2"
"86","517825bd","1","1",1048,"MATCH","L2"
"87","f186a0a4","1","1",NA,"MATCH","L2"
"88","6503fd75","1","1",NA,"MATCH","L2"
"89","c91a4e32","1","1",1178,"MATCH","L2"
"90","98338b55","1","1",739,"MATCH","L2"
"91","53cc0706","1","1",1938,"MATCH","L2"
"92","df1786e6","1","1",1004,"MATCH","L2"
"93","a3d39b25","1","1",1452,"MATCH","L2"
"94","41260fef","1","1",502,"MATCH","L2"
